letter,accuracy,precision,recall,f1_score
M,97.375,95.4656862745098,97.375,96.4108910891089
W,95.25,97.56722151088348,95.25,96.39468690702088
S,96.125,95.527950310559,96.125,95.82554517133957
Z,95.25,96.3337547408344,95.25,95.78881206788184
P,97.0,94.1747572815534,97.0,95.56650246305419
E,95.375,93.50490196078431,95.375,94.43069306930693
O,96.0,92.86577992744861,96.0,94.40688383527966
C,94.875,93.93564356435643,94.875,94.40298507462687
T,95.75,93.07411907654921,95.75,94.39309919901417
X,92.25,95.34883720930233,92.25,93.7738246505718
F,92.875,94.40914866581956,92.875,93.63579080025205
U,94.0,92.49692496924969,94.0,93.24240545567267
K,92.25,94.13265306122449,92.25,93.18181818181817
B,93.375,92.336217552534,93.375,92.85270354257302
R,92.25,93.0643127364439,92.25,92.65536723163842
Y,92.875,92.41293532338308,92.875,92.643391521197
N,91.25,93.83033419023135,91.25,92.52217997465145
V,92.5,92.26932668329178,92.5,92.38451935081149
H,92.375,92.375,92.375,92.375
D,89.75,93.97905759162303,89.75,91.81585677749361
J,91.75,91.75,91.75,91.75
A,87.75,90.0,87.75,88.86075949367088
Q,85.5,76.59574468085107,85.5,80.80330773774365
G,73.875,85.40462427745665,73.875,79.22252010723861
L,82.5,69.25498426023084,82.5,75.29948659440959
I,65.25,76.42752562225475,65.25,70.39784221173298
