letter,accuracy,precision,recall,f1_score
Z,98.125,97.15346534653465,98.125,97.636815920398
S,97.125,97.73584905660377,97.125,97.4294670846395
P,96.75,97.35849056603773,96.75,97.05329153605015
M,96.875,97.11779448621553,96.875,96.99624530663328
W,96.375,96.98113207547169,96.375,96.67711598746081
X,94.875,96.56488549618321,94.875,95.7124842370744
E,94.625,96.80306905370844,94.625,95.70164348925411
C,95.5,95.8594730238394,95.5,95.67939887288667
B,95.75,95.51122194513717,95.75,95.63046192259675
F,93.75,97.52925877763329,93.75,95.60229445506691
O,96.625,93.58353510895884,96.625,95.079950799508
K,94.5,95.09433962264151,94.5,94.79623824451411
T,96.25,93.10761789600967,96.25,94.65273509526736
R,94.625,94.15422885572139,94.625,94.38902743142144
Y,93.875,94.70365699873896,93.875,94.28750784682988
N,94.25,93.20148331273177,94.25,93.7228091982598
J,92.875,94.40914866581956,92.875,93.63579080025205
H,95.375,91.92771084337349,95.375,93.61963190184049
D,93.375,93.84422110552764,93.375,93.60902255639097
U,91.75,94.95472186287192,91.75,93.32485696122059
V,94.5,92.08282582216809,94.5,93.2757557063541
A,92.75,92.28855721393035,92.75,92.51870324189527
Q,88.75,80.68181818181817,88.75,84.52380952380952
G,76.875,88.36206896551724,76.875,82.2192513368984
L,78.5,72.76940903823869,78.5,75.52615754660252
I,72.625,75.55266579973993,72.625,74.05991077119184
